Team,ORTG,DRTG,NetRTG,Off eFG%,Off ORB%,Off FTAr,Off TOV%,Def EFG%,Def ORB%,Def FTAr,Def TOV%
Golden State Warriors,115.5,112.0,3.5,56.7,27.3,28.5,16.7,54.6,29.6,23.6,15.4
Phoenix Suns,113.0,114.2,-1.2,55.1,25.0,25.9,14.8,55.0,26.0,22.4,13.8
